,名称,階数,家賃,管理費,間取り,面積,URL
0,ＪＲ中央線 甲府駅 2階建 築42年,1階,1.5万円,2000円,1K,18m2,https://suumo.jp/chintai/jnc_000032960842/?bc=100005765178
1,ボヌール3番館,1階,1.7万円,500円,1K,19.04m2,https://suumo.jp/chintai/jnc_000059206431/?bc=100196210789
2,ボヌール3番館,2階,1.7万円,500円,1K,17.39m2,https://suumo.jp/chintai/jnc_000059206432/?bc=100196210791
3,酒折コーポグリーン,2階,1.5万円,3000円,1K,20m2,https://suumo.jp/chintai/jnc_000013854503/?bc=000085094163
4,国玉コーポグリーン,2階,1.5万円,3000円,1K,20m2,https://suumo.jp/chintai/jnc_000026065020/?bc=000085094263
5,コーポ桜,3階,2万円,-,2K,29.8m2,https://suumo.jp/chintai/jnc_000052289106/?bc=100170275408
6,ビレッジハウス増穂1号棟,4階,2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075564672/?bc=100290379789
7,ビレッジハウス増穂1号棟,3階,2.2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000055200760/?bc=100292841524
8,ビレッジハウス増穂1号棟,3階,2.2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075696767/?bc=100291429115
9,ビレッジハウス増穂1号棟,3階,2.2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075564669/?bc=100290379781
10,ルミネ,2階,2万円,-,1DK,26.44m2,https://suumo.jp/chintai/jnc_000064459624/?bc=100270590238
11,小野アパート,2階,2万円,-,1K,25.51m2,https://suumo.jp/chintai/jnc_000061502888/?bc=100289556472
12,小野アパート,1階,2万円,-,1K,22.68m2,https://suumo.jp/chintai/jnc_000075556547/?bc=100289556471
13,シングルコーポ岩窪,1階,2万円,-,1K,24m2,https://suumo.jp/chintai/jnc_000046035591/?bc=100293111204
14,シングルコーポ岩窪,2階,2万円,-,1K,24m2,https://suumo.jp/chintai/jnc_000050260776/?bc=100293111224
15,ハイツスカイ,1階,2万円,-,1K,23.13m2,https://suumo.jp/chintai/jnc_000074923930/?bc=100268311485
16,ハイツスカイ,1階,2万円,-,1K,20.21m2,https://suumo.jp/chintai/jnc_000068439547/?bc=100265537628
17,ハイツスカイ,2階,2万円,-,1K,20.21m2,https://suumo.jp/chintai/jnc_000069221923/?bc=100265537606
18,クオーレ北新A,1階,2万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000069488557/?bc=100293403002
19,クオーレ北新A,2階,2万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000075227383/?bc=100293410767
20,クオーレ北新B,1階,2万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000075227384/?bc=100293410762
21,パナハイツ保坂,1階,2万円,-,1K,22m2,https://suumo.jp/chintai/jnc_000074771917/?bc=100285067128
22,ノンスタイル,1階,2万円,-,1K,21.48m2,https://suumo.jp/chintai/jnc_000065475928/?bc=100289238330
23,コーポソシア,1階,2万円,-,1K,18.56m2,https://suumo.jp/chintai/jnc_000073735370/?bc=100279806228
24,サントノーレ中小河原II,1階,2万円,-,1K,18m2,https://suumo.jp/chintai/jnc_000062558447/?bc=100293410761
25,宮川荘,1階,2万円,-,1K,17.7m2,https://suumo.jp/chintai/jnc_000072222287/?bc=100271446598
26,中村ハイツ,1階,2万円,-,1K,17.1m2,https://suumo.jp/chintai/jnc_000070684774/?bc=100266339706
27,メールヴェール武田,1階,2万円,-,1K,16.51m2,https://suumo.jp/chintai/jnc_000072887662/?bc=100273769822
28,メールヴェール武田,2階,2.1万円,-,1K,16.51m2,https://suumo.jp/chintai/jnc_000072887663/?bc=100274956245
29,ビレッジハウス増穂 2号棟,3階,2.2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075696770/?bc=100291429113
30,クボタハイツＡ,1階,2.2万円,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000075055295/?bc=100286681438
31,クボタハイツＡ,2階,2.2万円,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000073279621/?bc=100277226443
